YEAR,PARTY,CONTESTED,SEATS_WON,VOTES_WON,PCT_VOTES_WON,CONVERSION_RATIO,MEDIAN_MARGIN,MEDIAN_PCT_MARGIN,WOMEN_CANDS,WOMEN_WINNERS
2013,BHPP,1,0,612,0.001952,0,,,0,0
2013,SAJP,18,0,12160,0.038784843,0,,,0,0
2013,INL,1,0,222,0.000708079,0,,,0,0
2013,NDEP,3,0,1697,0.005412654,0,,,1,0
2013,AIFB(S),1,0,137,0.000436967,0,,,0,0
2013,RSPS,1,0,1336,0.004261229,0,,,0,0
2013,RPI,6,0,12498,0.039862908,0,,,0,0
2013,ABML(S),1,0,794,0.002532497,0,,,0,0
2013,ANC,10,0,5372,0.017134225,0,,,0,0
2013,BPJP,5,0,2324,0.007412498,0,,,1,0
2013,PPOI,11,0,5832,0.018601415,0,,,1,0
2013,CPIM,17,0,12370,0.039454647,0,,,3,0
2013,KRRS,7,0,5954,0.018990539,0,,,0,0
2013,CPI(ML)(L),8,0,5634,0.017969885,0,,,0,0
2013,SK,2,0,1127,0.003594615,0,,,0,0
2013,RCMP,8,0,3330,0.010621178,0,,,2,0
2013,BHJD,4,0,1270,0.00405072,0,,,1,0
2013,HND,11,0,8088,0.025797024,0,,,0,0
2013,AMJP,5,0,1662,0.00530102,0,,,0,0
2013,VJCP,1,0,280,0.000893072,0,,,0,0
2013,KCVP,3,0,19454,0.062049369,0,,,0,0
2013,ADMK,5,0,10280,0.032788502,0,,,0,0
2013,BRPP,2,0,787,0.00251017,0,,,0,0
2013,MPHP,2,0,486,0.001550118,0,,,2,0
2013,KDC,1,0,294,0.000937726,0,,,0,0
2013,PPIS,1,0,231,0.000736784,0,,,0,0
2013,JVBP,1,0,96,0.000306196,0,,,0,0
2013,SDP,1,0,2942,0.009383635,0,,,0,0
2013,SJKP,1,0,211,0.000672994,0,,,0,0
2013,AKBRP,2,0,338,0.001078066,0,,,1,0
2013,DPPS,1,0,915,0.002918432,0,,,0,0
2013,ABHM,1,0,345,0.001100392,0,,,0,0
2014,INC,3,2,243659,55.65799182,8.21E-06,32462,21.87926804,0,0
2014,BJP,3,1,185165,42.29645552,5.40E-06,6430,4.630930003,0,0
2014,SJP ,1,0,1009,0.23048159,0,,,0,0
2014,X,3,0,2703,0.617434824,0,,,0,0
2014,IND,9,0,2756,0.62954139,0,,,0,0
2014,JD(U),1,0,162,0.037004973,0,,,0,0
2014,KARUNADA PARTY,1,0,142,0.032436458,0,,,0,0
2014,Pyramid Party of India,1,0,1144,0.261319067,0,,,0,0
2014,KJP,1,0,755,0.172461447,0,,,0,0
2014,RPI(A),1,0,143,0.032664883,0,,,0,0
2014,NDP,1,0,141,0.032208032,0,,,0,0
2016,INC,3,1,167132,44.54952554,5.98E-06,22721,18.07572057,0,0
2016,BJP,3,2,180431,48.09441305,1.11E-05,18010,14.8150683,0,0
2016,JD(S),3,0,17243,4.5961723,0,,,1,0
2016,BSP,1,0,1519,0.404893912,0,,,0,0
2016,X,3,0,2869,0.764740377,0,,,0,0
2016,NDP,1,0,555,0.14793688,0,,,0,0
2016,IND,18,0,4704,1.253865018,0,,,1,0
2016,DPP,1,0,304,0.081032093,0,,,0,0
2016,RPI(A),1,0,149,0.039716388,0,,,1,0
2016,KDC,1,0,130,0.034651882,0,,,0,0
2016,ANC,1,0,64,0.017059388,0,,,0,0
2016,HJP,1,0,60,0.015993176,0,,,0,0
