ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Karnataka,1962,132,4,HASSAN,GEN,G. R. RAMACHANDRA IYER,M,,,JS,498
Karnataka,1962,132,5,HASSAN,GEN,S. V. SHAMA RAO,M,,,SWA,300
Karnataka,1962,133,1,GANDASI,GEN,H. R. KESHAVA MURTHY,M,,,PSP,8637
Karnataka,1962,133,2,GANDASI,GEN,CHIKKEGOWDA,M,,,SWA,8267
Karnataka,1962,133,3,GANDASI,GEN,DYAVAMMA MANJAPPA,F,,,INC,7074
Karnataka,1962,134,1,SHRAVANABELAGOLA,GEN,S. SHIVAPPA,M,,,PSP,21136
Karnataka,1962,134,2,SHRAVANABELAGOLA,GEN,K. LAKKAPPA,M,,,INC,12483
Karnataka,1962,135,1,HOLENARASIPUR,GEN,H. D. DEVEGOWDA,M,,,IND,12622
Karnataka,1962,135,2,HOLENARASIPUR,GEN,H. D. DODDEGOWDA,M,,,INC,7338
Karnataka,1962,135,3,HOLENARASIPUR,GEN,Y. VEERAPPA,M,,,PSP,6052
Karnataka,1962,135,4,HOLENARASIPUR,GEN,B. C. MAYIGOWDA,M,,,SWA,2934
Karnataka,1962,135,5,HOLENARASIPUR,GEN,RANGAIAH,M,,,IND,757
Karnataka,1962,136,1,TURUVEKERE,GEN,B. HUTCHEGOWDA,M,,,PSP,18695
Karnataka,1962,136,2,TURUVEKERE,GEN,T. SUBRAMANYA,M,,,INC,15615
Karnataka,1962,137,1,TIPTUR,GEN,K. P. REVANNASIDDAPPA,M,,,PSP,17754
Karnataka,1962,137,2,TIPTUR,GEN,M. S. NEELAKANTASWAMY,M,,,INC,13484
Karnataka,1962,138,1,CHIKNAYAKANHALLI,GEN,C. H. LINGADEVARU,M,,,INC,16473
Karnataka,1962,138,2,CHIKNAYAKANHALLI,GEN,C. S. ANANTHAIAH,M,,,PSP,9371
Karnataka,1962,138,3,CHIKNAYAKANHALLI,GEN,S. K. CHANNAVEERAPPA,M,,,IND,4953
Karnataka,1962,139,1,SIRA,GEN,C. J. MUCKKANNAPPA,M,,,IND,21746
Karnataka,1962,139,2,SIRA,GEN,MALI MARIAPPA,M,,,INC,18002
Karnataka,1962,139,3,SIRA,GEN,S. V. SATYANARAYANA SETTY,M,,,JS,1088
Karnataka,1962,140,1,PAVAGADA,SC,R. KENCHAPPA,M,,,INC,12976
Karnataka,1962,140,2,PAVAGADA,SC,N. B. HANUMANTHA RAYAPPA,M,,,PSP,7478
Karnataka,1962,140,3,PAVAGADA,SC,HANUMANTHAPPA,M,,,JS,2066
Karnataka,1962,140,4,PAVAGADA,SC,P. KADURAPPA,M,,,IND,938
Karnataka,1962,141,1,GUBBI,GEN,V. M .DEO,M,,,IND,10420
Karnataka,1962,141,2,GUBBI,GEN,R. S. ARADHYA,M,,,INC,9896
Karnataka,1962,141,3,GUBBI,GEN,DODDAHALAPPA,M,,,IND,6046
Karnataka,1962,141,4,GUBBI,GEN,K. MALLANA,M,,,CPI,3225
Karnataka,1962,142,1,CHANDRASEKHARAPURA,GEN,N. HUCHAMASTHY GOWDA,M,,,INC,14012
Karnataka,1962,142,2,CHANDRASEKHARAPURA,GEN,G. THAMMANNA,M,,,IND,13138
Karnataka,1962,142,3,CHANDRASEKHARAPURA,GEN,B. G. BHAGAVAN,M,,,PSP,10440
Karnataka,1962,143,1,KUNIGAL,GEN,ANDANAIAH,M,,,IND,17410
Karnataka,1962,143,2,KUNIGAL,GEN,T. N. MUDALAGIRI GOWDA,M,,,INC,9165
Karnataka,1962,143,3,KUNIGAL,GEN,B. THIMMEGOWDA,M,,,PSP,6973
Karnataka,1962,144,1,HEBBUR,GEN,K. LAKKAPPA,M,,,PSP,21822
Karnataka,1962,144,2,HEBBUR,GEN,K. L. NARASIMHAIAH,M,,,INC,18140
Karnataka,1962,145,1,TUMKUR,GEN,G. C. BHAGEERATHAMMA,F,,,INC,15178
Karnataka,1962,145,2,TUMKUR,GEN,T. S. MALLIKARJUNAIAH,M,,,IND,10919
Karnataka,1962,145,3,TUMKUR,GEN,G. N. PUTTANNA,M,,,PSP,2769
Karnataka,1962,145,4,TUMKUR,GEN,S. MALLIKARUNAIAH,M,,,JS,1488
Karnataka,1962,145,5,TUMKUR,GEN,R. S. SIDDARAMAIAH,M,,,IND,855
Karnataka,1962,146,1,KORATAGERE,SC,R. CHANNIGARAMAIAH,M,,,INC,9053
Karnataka,1962,146,2,KORATAGERE,SC,S. ANJAIAH,M,,,PSP,8885
Karnataka,1962,146,3,KORATAGERE,SC,M. C. MARIYAPPA,M,,,IND,853
Karnataka,1962,146,4,KORATAGERE,SC,S. HANUMANTHAIAH,M,,,IND,598
Karnataka,1962,147,1,MADHUGIRI,GEN,T. S. SHIVANNA,M,,,PSP,19083
Karnataka,1962,147,2,MADHUGIRI,GEN,G. T. GOVINDA REDDY,M,,,INC,15492
Karnataka,1962,147,3,MADHUGIRI,GEN,T. S. GUNDU RAO,M,,,JS,2385
Karnataka,1962,148,1,GAURIBIDANUR,GEN,R. N. LAKSHMIPATHY,M,,,IND,24391
Karnataka,1962,148,2,GAURIBIDANUR,GEN,K. H. VENKATA REDDY,M,,,INC,16718
Karnataka,1962,149,1,CHIKKABALLAPUR,GEN,C. V. VENKATARAYAPPA,M,,,IND,23362
Karnataka,1962,149,2,CHIKKABALLAPUR,GEN,T. S. VENKATARAMANAIAH,M,,,INC,13373
Karnataka,1962,150,1,BAGEPALLI,SC,B. SUBBARAYAPPA,M,,,INC,12949
Karnataka,1962,150,2,BAGEPALLI,SC,K. M. MUNIYAPPA,M,,,IND,12556
Karnataka,1962,151,1,SIDLAGHATTA,GEN,S. AVALA REDDY,M,,,INC,21696
Karnataka,1962,151,2,SIDLAGHATTA,GEN,J. VENKATAPPA,M,,,IND,15989
Karnataka,1962,152,1,CHINTAMANI,GEN,M. C. ANJANEYA REDDY,M,,,IND,21664
Karnataka,1962,152,2,CHINTAMANI,GEN,V. SEETHAPA,M,,,INC,16931
Karnataka,1962,153,1,SRINIVASPUR,GEN,G. NARAYANA GOWDA,M,,,INC,20311
Karnataka,1962,153,2,SRINIVASPUR,GEN,B. L. NARAYANASWAMY,M,,,IND,15082
Karnataka,1962,154,1,MULBAGAL,SC,J. NARAYANAPP A,M,,,INC,12070
Karnataka,1962,154,2,MULBAGAL,SC,P. MUNIYAPPA,M,,,IND,4021
Karnataka,1962,154,3,MULBAGAL,SC,GURAPPA,M,,,IND,1750
Karnataka,1962,154,4,MULBAGAL,SC,VENKATAPPA,M,,,IND,586
Karnataka,1962,154,5,MULBAGAL,SC,B. H. HANUMAPPA,M,,,REP,232
Karnataka,1962,155,1,KOLAR,GEN,P. VENKATAGIRIYAPA,M,,,IND,20898
Karnataka,1962,155,2,KOLAR,GEN,D. ABDUL RASHEED,M,,,INC,15272
Karnataka,1962,156,1,ROBERTSONPET,GEN,D. VENKATA RAMIAH,M,,,INC,14536
Karnataka,1962,156,2,ROBERTSONPET,GEN,V. M. GOVINDAN,M,,,CPI,2935
Karnataka,1962,156,3,ROBERTSONPET,GEN,SYED NAZEER AHMED,M,,,REP,2534
Karnataka,1962,156,4,ROBERTSONPET,GEN,G. PILLAPA,M,,,IND,841
