,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2233,Karnataka,1972,75,9,CHICKPET,GEN,A. SATHYAJI RAO,M,,,IND,128.0
2234,Karnataka,1972,75,10,CHICKPET,GEN,R. ESWARAIAH,M,,,IND,102.0
2235,Karnataka,1972,75,11,CHICKPET,GEN,R. RAJU,M,,,IND,82.0
2236,Karnataka,1972,75,12,CHICKPET,GEN,G. RANGASWAMY,M,,,IND,76.0
2237,Karnataka,1972,75,13,CHICKPET,GEN,B. KRISHNAPPA,M,,,IND,28.0
2238,Karnataka,1972,76,1,CHAMRAJPET,GEN,YATAL NAGARAJ,M,,,IND,15456.0
2239,Karnataka,1972,76,2,CHAMRAJPET,GEN,R. DAYANANDA SAGARAR,M,,,INC,14412.0
2240,Karnataka,1972,76,3,CHAMRAJPET,GEN,S. N. NARAYAN,M,,,IND,7662.0
2241,Karnataka,1972,76,4,CHAMRAJPET,GEN,H. M. ISMAIL,M,,,IND,7624.0
2242,Karnataka,1972,76,5,CHAMRAJPET,GEN,DR. B. K. KRISHNAIAH,M,,,IND,3403.0
2243,Karnataka,1972,76,6,CHAMRAJPET,GEN,K. M. NANJAPPA,M,,,NCO,2175.0
2244,Karnataka,1972,76,7,CHAMRAJPET,GEN,"G, NARAYANA KUMAR",M,,,IND,1091.0
2245,Karnataka,1972,76,8,CHAMRAJPET,GEN,S. SAMUEL,M,,,SWA,395.0
2246,Karnataka,1972,76,9,CHAMRAJPET,GEN,K. CHIKKANNA,M,,,IND,255.0
2247,Karnataka,1972,76,10,CHAMRAJPET,GEN,K. NARAYANA SWAMY,M,,,BJS,247.0
2248,Karnataka,1972,77,1,FORT,GEN,T. R. SHAMANNA,M,,,IND,13625.0
2249,Karnataka,1972,77,2,FORT,GEN,D. S. NARASINGA RAO,M,,,INC,11209.0
2250,Karnataka,1972,77,3,FORT,GEN,T. K. THIMMARAYI GOWDA,M,,,IND,9262.0
2251,Karnataka,1972,77,4,FORT,GEN,K. G. SUBBARAMA SETTY,M,,,BJS,6746.0
2252,Karnataka,1972,77,5,FORT,GEN,G. SHIVASHANKAR,M,,,IND,211.0
2253,Karnataka,1972,77,6,FORT,GEN,B. C. KESHAVA GOWDA,M,,,IND,67.0
2254,Karnataka,1972,78,1,BASAVANAGUDI,GEN,AMIR RAHAMATHULLA KHAN,M,,,INC,15320.0
